as_of_date,account_id,symbol,quantity,avg_cost,market_value_usd,unrealized_pnl_usd
2026-04-21,A000000010,TTZQ,200,336.2399,57480.48,-9767.5
2026-04-21,A000000010,MGLSG,2500,513.1971,2439326.63,1156333.88
2026-04-21,A000000010,ORI,1000,248.8734,267527.15,18653.75
2026-04-21,A000000010,RFDY,100,406.9406,59709.3,19015.24
2026-04-21,A000000010,ODGF,200,484.5469,83580.7,-13328.68
2026-04-21,A000000010,BMW,5000,475.9818,4226298.29,1846389.29
2026-04-21,A000000011,OIOO,1000,687.0445,852648.8,165604.3
2026-04-21,A000000011,CIM,2500,798.0346,2108428.3,113341.8
2026-04-21,A000000011,ZQLN,2500,339.4411,1069248.47,220645.72
2026-04-21,A000000011,HJD,5000,676.5347,5357493.66,1974820.16
2026-04-21,A000000011,ZMHJN,100,259.7425,18508.33,-7465.92
2026-04-21,A000000011,JPYTB,2500,228.3466,847662.58,276796.08
2026-04-21,A000000011,KLO,100,101.3055,14323.9,4193.35
2026-04-21,A000000012,XREL,2500,931.0107,1690990.14,-636536.61
2026-04-21,A000000012,VNCR,100,56.6848,6699.35,1030.87
2026-04-21,A000000012,BDFL,100,95.7567,6462.15,-3113.52
2026-04-21,A000000012,PLR,100,473.0855,42140.29,-5168.26
2026-04-21,A000000013,UMBT,500,460.2684,171673.65,-58460.55
2026-04-21,A000000013,QZIZI,100,640.6863,77067.61,12998.98
2026-04-21,A000000013,NTUX,1000,595.131,486239.03,-108891.97
2026-04-21,A000000013,DHWMA,200,334.0381,67150.84,343.22
2026-04-21,A000000013,CLW,2500,646.6747,1324312.83,-292373.92
2026-04-21,A000000013,JPYTB,500,186.656,169532.52,76204.52
2026-04-21,A000000013,BDFL,2500,100.5374,161553.74,-89789.76
2026-04-21,A000000013,ZMHJN,2500,389.2068,462708.28,-510308.72
2026-04-21,A000000014,HHSJ,100,589.7055,41029.16,-17941.39
2026-04-21,A000000014,NPWW,1000,485.4208,626949.0,141528.2
2026-04-21,A000000014,ZNZWA,100,116.7486,15004.08,3329.22
2026-04-21,A000000014,NTUX,2500,404.1803,1215597.58,205146.83
2026-04-21,A000000015,DLYFL,1000,24.8973,18995.83,-5901.47
2026-04-21,A000000015,CLW,100,826.6418,52972.51,-29691.67
2026-04-21,A000000015,HZYB,1000,221.4671,422297.6,200830.5
2026-04-21,A000000015,MGLSG,100,737.0473,97573.07,23868.34
2026-04-21,A000000015,ZCAI,5000,337.6566,1404378.06,-283904.94
2026-04-21,A000000016,AWOX,2500,329.9285,822576.2,-2245.05
2026-04-21,A000000016,AHF,100,530.7484,154498.52,101423.68
2026-04-21,A000000016,HXFE,2500,267.7132,764324.69,95041.69
2026-04-21,A000000016,TIFI,500,179.7568,64655.63,-25222.77
2026-04-21,A000000018,TIFI,100,227.6874,12931.13,-9837.61
2026-04-21,A000000018,DDTO,200,225.9471,52687.21,7497.79
2026-04-21,A000000018,LYYA,100,87.3708,10049.06,1311.98
2026-04-21,A000000018,PJAWE,2500,476.7858,1416711.87,224747.37
2026-04-21,A000000019,ORI,5000,242.8804,1337635.74,123233.74
2026-04-21,A000000019,HHSJ,2500,609.4636,1025729.04,-497929.96
2026-04-21,A000000020,BIBMX,1000,77.4642,153542.96,76078.76
2026-04-21,A000000020,UGIE,200,420.6603,108568.69,24436.63
2026-04-21,A000000020,XVGQO,100,615.5538,38301.83,-23253.55
2026-04-21,A000000021,HXFE,200,283.2389,61145.98,4498.2
2026-04-21,A000000021,EFYM,1000,131.2497,200214.63,68964.93
2026-04-21,A000000021,HORT,500,929.08,412438.66,-52101.34
2026-04-21,A000000021,MURH,200,526.3278,72492.58,-32772.98
2026-04-21,A000000021,MWXE,100,376.6245,12897.86,-24764.59
2026-04-21,A000000021,VTZM,1000,158.6482,187815.95,29167.75
2026-04-21,A000000021,RFDY,2500,388.8012,1492732.58,520729.58
2026-04-21,A000000022,CAHM,500,554.3491,605251.08,328076.53
2026-04-21,A000000024,DDTO,5000,384.1387,1317180.28,-603513.22
2026-04-21,A000000024,COBO,2500,302.9783,826866.05,69420.3
2026-04-21,A000000024,HORT,5000,543.7409,4124386.65,1405682.15
2026-04-21,A000000024,BMW,1000,312.4923,845259.66,532767.36
2026-04-21,A000000024,CZV,100,261.6362,22710.22,-3453.4
2026-04-21,A000000025,CCT,200,108.1026,31535.7,9915.18
2026-04-21,A000000025,ELSO,2500,623.4958,546210.3,-1012529.2
2026-04-21,A000000025,YUQR,1000,542.8765,636410.56,93534.06
2026-04-21,A000000025,XVGQO,5000,459.4659,1915091.38,-382238.12
2026-04-21,A000000026,ELSO,2500,708.8449,546210.3,-1225901.95
2026-04-21,A000000026,DLYFL,100,44.8872,1899.58,-2589.14
2026-04-21,A000000026,UPIL,1000,130.5087,320003.59,189494.89
2026-04-21,A000000026,PJAWE,2500,560.5883,1416711.87,15241.12
2026-04-21,A000000027,IAWGP,200,464.8447,142203.38,49234.44
2026-04-21,A000000027,RFDY,500,352.772,298546.52,122160.52
2026-04-21,A000000027,ORI,200,240.7522,53505.43,5354.99
2026-04-21,A000000027,SNO,500,127.7012,183571.87,119721.27
2026-04-21,A000000028,DHWMA,200,369.7825,67150.84,-6805.66
2026-04-21,A000000028,HQJJ,2500,860.663,1340512.07,-811145.43
2026-04-21,A000000029,LYYA,500,99.098,50245.28,696.28
2026-04-21,A000000030,HQPT,200,59.7038,10858.18,-1082.58
2026-04-21,A000000030,YAVU,200,127.5453,45183.59,19674.53
2026-04-21,A000000030,ZCAI,1000,291.9764,280875.61,-11100.79
2026-04-21,A000000030,TCLH,100,568.0777,85307.29,28499.52
2026-04-21,A000000031,COBO,2500,459.2767,826866.05,-321325.7
2026-04-21,A000000031,NGQ,200,328.691,60265.52,-5472.68
2026-04-21,A000000031,ODGF,100,371.3638,41790.35,4653.97
2026-04-21,A000000031,ADLJL,1000,204.3975,212030.01,7632.51
2026-04-21,A000000031,LUCRW,2500,45.4034,149963.78,36455.28
2026-04-21,A000000031,FBYB,1000,655.4294,1082864.69,427435.29
2026-04-21,A000000031,TIFI,5000,225.4886,646556.26,-480886.74
2026-04-21,A000000032,QZIZI,5000,510.4287,3853380.49,1301236.99
2026-04-21,A000000032,IAWGP,200,622.7433,142203.38,17654.72
2026-04-21,A000000032,YAVU,500,128.9403,112958.97,48488.82
2026-04-21,A000000032,XVGQO,100,487.9559,38301.83,-10493.76
2026-04-21,A000000033,SHI,200,224.8796,32855.05,-12120.87
2026-04-21,A000000034,OIOO,5000,959.2064,4263243.99,-532788.01
2026-04-21,A000000034,MURH,200,414.7371,72492.58,-10454.84
2026-04-21,A000000035,COBO,2500,282.7605,826866.05,119964.8
2026-04-21,A000000035,HORT,500,735.3674,412438.66,44754.96
2026-04-21,A000000035,OUNA,500,528.0003,400897.17,136897.02
2026-04-21,A000000035,ZMHJN,100,340.0336,18508.33,-15495.03
2026-04-21,A000000035,BMK,500,270.4033,175529.43,40327.78
2026-04-21,A000000035,HJD,1000,793.975,1071498.73,277523.73
2026-04-21,A000000035,JOERN,100,520.3121,49875.26,-2155.95
2026-04-21,A000000035,BIBMX,1000,78.9111,153542.96,74631.86
2026-04-21,A000000036,YAVU,500,156.014,112958.97,34951.97
2026-04-21,A000000036,DBZP,500,231.9544,109121.29,-6855.91
2026-04-21,A000000036,CLW,5000,818.7044,2648625.67,-1444896.33
2026-04-21,A000000036,HQPT,1000,45.3827,54290.92,8908.22
2026-04-21,A000000036,SIEY,500,872.5687,559746.46,123462.11
2026-04-21,A000000036,PLR,200,322.0077,84280.57,19879.03
2026-04-21,A000000038,XREL,2500,979.0391,1690990.14,-756607.61
2026-04-21,A000000038,HHYZ,100,968.6951,74403.28,-22466.23
2026-04-21,A000000038,MURH,2500,537.3582,906157.29,-437238.21
2026-04-21,A000000038,MWXE,200,573.6884,25795.73,-88941.95
2026-04-21,A000000038,DBZP,5000,190.1502,1091212.95,140461.95
2026-04-21,A000000038,ODGF,100,384.3447,41790.35,3355.88
2026-04-21,A000000038,LUCRW,1000,75.4632,59985.51,-15477.69
2026-04-21,A000000038,UPIL,500,216.4367,160001.8,51783.45
2026-04-21,A000000039,ZCAI,100,269.8321,28087.56,1104.35
2026-04-21,A000000039,UPIL,500,237.1612,160001.8,41421.2
2026-04-21,A000000039,BDFL,5000,78.9126,323107.49,-71455.51
2026-04-21,A000000039,BIBMX,500,77.1007,76771.48,38221.13
2026-04-21,A000000039,CCT,2500,130.6447,394196.27,67584.52
2026-04-21,A000000039,ZYVC,5000,123.8861,636659.1,17228.6
2026-04-21,A000000039,PSPEQ,100,774.6579,72166.27,-5299.52
2026-04-21,A000000039,BULH,500,505.1659,178432.42,-74150.53
2026-04-21,A000000041,MURH,2500,470.5363,906157.29,-270183.46
2026-04-21,A000000043,FZUGM,1000,124.0964,143288.38,19191.98
2026-04-21,A000000043,ZQLN,5000,319.4162,2138496.93,541415.93
2026-04-21,A000000043,UCEN,100,155.7967,9823.5,-5756.17
2026-04-21,A000000043,NGQ,200,272.6477,60265.52,5735.98
2026-04-21,A000000043,QZIZI,5000,481.1099,3853380.49,1447830.99
2026-04-21,A000000043,ILP,1000,740.0775,843981.66,103904.16
2026-04-21,A000000043,COBO,2500,288.7647,826866.05,104954.3
2026-04-21,A000000044,LAHK,5000,79.3114,388641.64,-7915.36
2026-04-21,A000000044,VOLI,500,182.2357,60054.12,-31063.73
2026-04-21,A000000044,TEH,200,601.0953,194236.7,74017.64
2026-04-21,A000000044,IAWGP,1000,524.7573,711016.89,186259.59
2026-04-21,A000000044,HQJJ,1000,633.8478,536204.83,-97642.97
2026-04-21,A000000044,ODGF,200,361.4833,83580.7,11284.04
2026-04-21,A000000044,IMG,500,446.1786,219112.66,-3976.64
2026-04-21,A000000044,HZYB,2500,291.5869,1055744.0,326776.75
2026-04-21,A000000045,SHI,5000,190.4993,821376.21,-131120.29
2026-04-21,A000000045,NPWW,200,572.9373,125389.8,10802.34
2026-04-21,A000000049,JOW,5000,277.9683,1142655.69,-247185.81
2026-04-21,A000000049,PSPEQ,100,881.5624,72166.27,-15989.97
2026-04-21,A000000049,SHI,200,270.7435,32855.05,-21293.65
2026-04-21,A000000049,BIBMX,100,130.0028,15354.3,2354.02
2026-04-21,A000000049,FBYB,1000,777.0642,1082864.69,305800.49
2026-04-21,A000000049,VNCR,500,48.1195,33496.74,9436.99
2026-04-21,A000000050,QZIZI,200,353.0264,154135.22,83529.94
2026-04-21,A000000050,YUQR,200,539.378,127282.11,19406.51
2026-04-21,A000000050,JISTW,1000,43.0116,52932.39,9920.79
2026-04-21,A000000052,PLR,500,314.9113,210701.43,53245.78
2026-04-21,A000000052,XREL,5000,969.0829,3381980.28,-1463434.22
2026-04-21,A000000053,ZNZWA,200,110.581,30008.15,7891.95
2026-04-21,A000000053,SHI,100,277.7061,16427.52,-11343.09
2026-04-21,A000000053,CCT,500,93.9509,78839.25,31863.8
2026-04-21,A000000053,DBZP,200,203.2687,43648.52,2994.78
2026-04-21,A000000053,BMK,100,282.3702,35105.89,6868.87
2026-04-21,A000000054,THIVN,2500,825.7508,2386709.78,322332.78
2026-04-21,A000000054,CIM,100,727.218,84337.13,11615.33
2026-04-21,A000000055,ZYVC,100,93.8963,12733.18,3343.55
2026-04-21,A000000055,DBZP,2500,184.6436,545606.47,83997.47
2026-04-21,A000000055,CLW,500,1025.5547,264862.57,-247914.78
2026-04-21,A000000055,OUNA,5000,688.9826,4008971.72,564058.72
2026-04-21,A000000055,ODGF,5000,486.0525,2089517.38,-340745.12
2026-04-21,A000000055,UPIL,100,192.0672,32000.36,12793.64
2026-04-21,A000000055,HHYZ,5000,802.5973,3720164.21,-292822.29
2026-04-21,A000000056,RFDY,2500,344.658,1492732.58,631087.58
2026-04-21,A000000057,LUCRW,200,64.3581,11997.1,-874.52
2026-04-21,A000000058,BMK,500,470.3422,175529.43,-59641.67
2026-04-21,A000000058,DBZP,2500,168.5603,545606.47,124205.72
2026-04-21,A000000058,BDFL,2500,91.6645,161553.74,-67607.51
2026-04-21,A000000058,XJED,2500,419.0511,540892.62,-506735.13
2026-04-21,A000000058,EFYM,5000,154.158,1001073.16,230283.16
2026-04-21,A000000058,MOXDD,1000,605.3088,608747.48,3438.68
2026-04-21,A000000058,IAWGP,200,591.0307,142203.38,23997.24
2026-04-21,A000000058,JOW,5000,247.5048,1142655.69,-94868.31
2026-04-21,A000000059,NPWW,2500,538.2109,1567372.5,221845.25
2026-04-21,A000000059,HZYB,200,317.1002,84459.52,21039.48
2026-04-21,A000000059,WXQLM,5000,387.2821,3401662.54,1465252.04
2026-04-21,A000000059,NKII,500,532.579,348262.98,81973.48
2026-04-21,A000000059,IMG,2500,444.3817,1095563.29,-15390.96
2026-04-21,A000000060,DHWMA,500,295.4133,167877.1,20170.45
2026-04-21,A000000060,JOW,100,165.3283,22853.11,6320.28
2026-04-21,A000000060,JBM,500,441.5202,215951.27,-4808.83
2026-04-21,A000000060,MOXDD,500,501.6038,304373.74,53571.84
2026-04-21,A000000060,HORT,1000,595.975,824877.33,228902.33
2026-04-21,A000000061,MER,100,472.9664,34265.7,-13030.94
2026-04-21,A000000062,NPWW,1000,558.2144,626949.0,68734.6
2026-04-21,A000000062,QLRI,500,960.4591,164581.87,-315647.68
2026-04-21,A000000062,MER,200,456.9954,68531.41,-22867.67
2026-04-21,A000000062,ZNPJ,200,346.4269,75712.12,6426.74
2026-04-21,A000000062,TCLH,100,471.7974,85307.29,38127.55
2026-04-21,A000000062,CCT,200,100.5241,31535.7,11430.88
2026-04-21,A000000062,ZGOJ,2500,584.0752,1985823.85,525635.85
2026-04-21,A000000063,ZCAI,500,248.9181,140437.81,15978.76
2026-04-21,A000000063,PSPEQ,2500,519.425,1804156.77,505594.27
2026-04-21,A000000064,SNO,5000,159.0435,1835718.73,1040501.23
2026-04-21,A000000064,NPWW,5000,649.9697,3134745.0,-115103.5
2026-04-21,A000000064,UGIE,5000,305.2095,2714217.33,1188169.83
2026-04-21,A000000064,MGLSG,100,835.4121,97573.07,14031.86
2026-04-21,A000000064,ZNPJ,5000,230.9105,1892803.05,738250.55
2026-04-21,A000000064,IMG,5000,460.9309,2191126.59,-113527.91
2026-04-21,A000000064,MURH,5000,330.2502,1812314.58,161063.58
2026-04-21,A000000064,MOXDD,100,701.0156,60874.75,-9226.81
2026-04-21,A000000065,BMW,500,481.2268,422629.83,182016.43
2026-04-21,A000000065,XJED,200,373.4688,43271.41,-31422.35
2026-04-21,A000000065,XREL,5000,630.3806,3381980.28,230077.28
2026-04-21,A000000065,HQPT,5000,64.8095,271454.61,-52592.89
2026-04-21,A000000065,RXIRR,500,21.8565,7611.4,-3316.85
2026-04-21,A000000065,JOERN,500,516.9257,249376.29,-9086.56
2026-04-21,A000000065,ZMHJN,100,304.678,18508.33,-11959.47
2026-04-21,A000000065,ZQME,1000,415.7172,271884.02,-143833.18
2026-04-21,A000000066,BMW,5000,338.3479,4226298.29,2534558.79
2026-04-21,A000000066,ILP,500,705.3364,421990.83,69322.63
2026-04-21,A000000066,NGQ,5000,338.5661,1506637.97,-186192.53
2026-04-21,A000000066,ZCAI,2500,342.9614,702189.03,-155214.47
2026-04-21,A000000066,ELSO,2500,632.7625,546210.3,-1035695.95
2026-04-21,A000000067,XREL,100,1000.9985,67639.61,-32460.24
2026-04-21,A000000067,HXFE,2500,400.7655,764324.69,-237589.06
2026-04-21,A000000067,VOLI,200,177.6696,24021.65,-11512.27
2026-04-21,A000000067,OUNA,100,730.56,80179.43,7123.43
2026-04-21,A000000069,ORI,2500,187.4025,668817.87,200311.62
2026-04-21,A000000069,VNCR,5000,67.5656,334967.43,-2860.57
2026-04-21,A000000070,ADLJL,200,190.1016,42406.0,4385.68
2026-04-21,A000000070,YAVU,500,132.9806,112958.97,46468.67
2026-04-21,A000000070,HORT,200,709.5909,164975.47,23057.29
2026-04-21,A000000070,BIBMX,500,80.2496,76771.48,36646.68
2026-04-21,A000000070,BULH,5000,415.1074,1784324.19,-291212.81
2026-04-21,A000000071,IMG,5000,343.0709,2191126.59,475772.09
2026-04-21,A000000071,JBM,100,588.1385,43190.25,-15623.6
2026-04-21,A000000071,RXIRR,1000,17.5072,15222.81,-2284.39
2026-04-21,A000000072,XJED,5000,249.1499,1081785.25,-163964.25
2026-04-21,A000000072,TIFI,200,257.4797,25862.25,-25633.69
2026-04-21,A000000072,CCT,500,90.6577,78839.25,33510.4
2026-04-21,A000000073,TEH,200,487.7428,194236.7,96688.14
2026-04-21,A000000073,OUNA,500,458.3576,400897.17,171718.37
2026-04-21,A000000073,BMK,1000,335.4821,351058.86,15576.76
2026-04-21,A000000073,PSPEQ,100,852.2095,72166.27,-13054.68
2026-04-21,A000000073,ZNPJ,5000,277.7665,1892803.05,503970.55
2026-04-21,A000000073,ELSO,2500,674.3269,546210.3,-1139606.95
2026-04-21,A000000073,HHSJ,100,444.0664,41029.16,-3377.48
2026-04-21,A000000074,TEH,500,658.0836,485591.75,156549.95
2026-04-21,A000000074,FZUGM,500,77.8068,71644.19,32740.79
2026-04-21,A000000074,XVGQO,200,433.4644,76603.66,-10089.22
2026-04-21,A000000074,JOW,5000,258.5815,1142655.69,-150251.81
2026-04-21,A000000074,YRETH,500,606.0003,208802.23,-94197.92
2026-04-21,A000000074,HJD,2500,655.956,2678746.83,1038856.83
2026-04-21,A000000074,THIVN,500,810.5171,477341.96,72083.41
2026-04-21,A000000075,WXQLM,2500,549.6674,1700831.27,326662.77
2026-04-21,A000000075,ADLJL,2500,200.8693,530075.02,27901.77
2026-04-21,A000000075,VNCR,100,45.9051,6699.35,2108.84
2026-04-21,A000000075,VUVE,5000,216.8,1605040.57,521040.57
2026-04-21,A000000075,EFYM,2500,128.1059,500536.58,180271.83
2026-04-21,A000000075,DNFO,200,361.0705,61523.46,-10690.64
2026-04-21,A000000076,NKII,5000,577.2843,3482629.81,596208.31
2026-04-21,A000000076,TIFI,2500,254.6728,323278.13,-313403.87
2026-04-21,A000000076,OIOO,1000,553.2002,852648.8,299448.6
2026-04-21,A000000076,VNCR,500,49.2566,33496.74,8868.44
2026-04-21,A000000077,EFYM,500,131.5664,100107.32,34324.12
2026-04-21,A000000077,ZMHJN,5000,306.9709,925416.57,-609437.93
2026-04-21,A000000077,HHYZ,1000,700.164,744032.84,43868.84
2026-04-21,A000000077,BMK,5000,313.889,1755294.28,185849.28
2026-04-21,A000000078,HQPT,2500,72.657,135727.31,-45915.19
2026-04-21,A000000078,PJAWE,2500,482.5323,1416711.87,210381.12
2026-04-21,A000000078,XJED,5000,345.939,1081785.25,-647909.75
2026-04-21,A000000078,FBYB,200,576.9192,216572.94,101189.1
2026-04-21,A000000079,VUVE,5000,216.208,1605040.57,524000.57
2026-04-21,A000000079,DBZP,100,185.5307,21824.26,3271.19
2026-04-21,A000000079,COBO,5000,312.2043,1653732.09,92710.59
2026-04-21,A000000079,TIFI,500,233.5128,64655.63,-52100.77
2026-04-21,A000000079,SIEY,2500,664.2439,2798732.28,1138122.53
2026-04-21,A000000079,LYYA,2500,101.8921,251226.41,-3503.84
2026-04-21,A000000079,XJED,200,404.6493,43271.41,-37658.45
2026-04-21,A000000080,SIEY,500,784.8207,559746.46,167336.11
2026-04-21,A000000080,DBZP,1000,176.3185,218242.59,41924.09
2026-04-21,A000000080,UGIE,5000,287.7341,2714217.33,1275546.83
2026-04-21,A000000080,PLR,500,518.1111,210701.43,-48354.12
2026-04-21,A000000080,RBQA,2500,752.2364,1671388.22,-209202.78
2026-04-21,A000000080,BIBMX,100,136.2109,15354.3,1733.21
2026-04-21,A000000081,BDFL,1000,81.1744,64621.5,-16552.9
2026-04-21,A000000082,ADLJL,1000,174.7498,212030.01,37280.21
2026-04-21,A000000082,ZYVC,1000,128.0853,127331.82,-753.48
2026-04-21,A000000082,FBYB,2500,654.7636,2707161.72,1070252.72
2026-04-21,A000000082,DNFO,200,391.2993,61523.46,-16736.4
2026-04-21,A000000082,ZNPJ,100,236.2514,37856.06,14230.92
2026-04-21,A000000082,MURH,5000,336.9374,1812314.58,127627.58
2026-04-21,A000000082,CZV,500,245.3038,113551.11,-9100.79
2026-04-21,A000000083,UCEN,5000,146.7314,491175.08,-242481.92
2026-04-21,A000000083,HQPT,200,79.2874,10858.18,-4999.3
2026-04-21,A000000083,SHI,200,248.0575,32855.05,-16756.45
2026-04-21,A000000083,MOXDD,200,470.016,121749.5,27746.3
2026-04-21,A000000083,KTEKC,2500,287.7939,741934.56,22449.81
2026-04-21,A000000084,MGLSG,1000,683.1128,975730.65,292617.85
2026-04-21,A000000084,RBQA,500,489.0695,334277.64,89742.89
2026-04-21,A000000086,FCVJ,200,123.4812,37457.29,12761.05
2026-04-21,A000000086,YRETH,5000,530.1892,2088022.31,-562923.69
2026-04-21,A000000086,AWOX,5000,465.3264,1645152.4,-681479.6
2026-04-21,A000000086,JOW,200,158.0732,45706.23,14091.59
2026-04-21,A000000086,VUVE,500,279.4458,160504.06,20781.16
2026-04-21,A000000086,UPIL,1000,233.6047,320003.59,86398.89
2026-04-21,A000000086,HXFE,500,304.1029,152864.94,813.49
2026-04-21,A000000086,BULH,200,658.9295,71372.97,-60412.93
2026-04-21,A000000088,NTUX,500,446.3373,243119.52,19950.87
2026-04-21,A000000088,MGLSG,100,528.3494,97573.07,44738.13
2026-04-21,A000000088,THIVN,500,821.4048,477341.96,66639.56
2026-04-21,A000000088,SIEY,1000,542.7469,1119492.91,576746.01
2026-04-21,A000000088,ZNZWA,1000,110.6206,150040.76,39420.16
2026-04-21,A000000089,NKII,200,576.8416,139305.19,23936.87
2026-04-21,A000000091,DLYFL,1000,29.4753,18995.83,-10479.47
2026-04-21,A000000091,YRETH,200,522.2433,83520.89,-20927.77
2026-04-21,A000000091,VNCR,1000,49.701,66993.49,17292.49
2026-04-21,A000000091,DNFO,100,396.8218,30761.73,-8920.45
2026-04-21,A000000091,HZYB,500,385.5657,211148.8,18365.95
2026-04-21,A000000092,KTEKC,500,370.487,148386.91,-36856.59
2026-04-21,A000000092,ZYVC,200,118.7653,25466.36,1713.3
2026-04-21,A000000092,BULH,100,636.6229,35686.48,-27975.81
2026-04-21,A000000092,HJD,200,508.7767,214299.75,112544.41
2026-04-21,A000000092,IAWGP,500,456.708,355508.44,127154.44
2026-04-21,A000000093,YUQR,5000,616.2213,3182052.79,100946.29
2026-04-21,A000000093,BMW,500,354.0718,422629.83,245593.93
2026-04-21,A000000093,UGIE,100,345.6671,54284.35,19717.64
2026-04-21,A000000093,THIVN,200,847.987,190936.78,21339.38
2026-04-21,A000000093,HHSJ,500,522.6268,205145.81,-56167.59
2026-04-21,A000000093,ZNPJ,5000,294.5235,1892803.05,420185.55
2026-04-21,A000000094,YUQR,1000,357.0464,636410.56,279364.16
2026-04-21,A000000094,ELSO,200,614.2848,43696.82,-79160.14
2026-04-21,A000000094,CCT,100,156.5715,15767.85,110.7
2026-04-21,A000000094,NPWW,100,853.9222,62694.9,-22697.32
2026-04-21,A000000095,ODGF,100,368.9298,41790.35,4897.37
2026-04-21,A000000095,JOW,2500,177.8114,571327.85,126799.35
2026-04-21,A000000095,IAWGP,200,611.4386,142203.38,19915.66
2026-04-21,A000000095,SIEY,1000,749.7988,1119492.91,369694.11
2026-04-21,A000000095,TTZQ,2500,382.7308,718505.96,-238321.04
2026-04-21,A000000095,MGLSG,1000,863.806,975730.65,111924.65
2026-04-21,A000000095,VUVE,5000,330.4054,1605040.57,-46986.43
2026-04-21,A000000095,TCLH,2500,690.7356,2132682.2,405843.2
2026-04-21,A000000096,TTZQ,500,329.7909,143701.19,-21194.26
2026-04-21,A000000096,CIM,2500,650.7911,2108428.3,481450.55
2026-04-21,A000000096,VUVE,100,212.0249,32100.81,10898.32
2026-04-21,A000000096,RXIRR,1000,15.7287,15222.81,-505.89
2026-04-21,A000000096,ZYVC,1000,91.8236,127331.82,35508.22
