symbol,trade_date,open,high,low,close,volume,adj_close
NTUX,2025-04-22,473.306,474.645,461.3325,462.4393,66155,462.4393
CLW,2025-04-22,829.8377,836.7186,785.1069,812.0084,83710,812.0084
FBYB,2025-04-22,626.008,643.5087,624.8094,643.2286,1358822,643.2286
ZCAI,2025-04-22,277.3476,280.007,276.6014,279.9447,62900,279.9447
RBQA,2025-04-22,615.0941,618.0926,612.194,612.5957,204375,612.5957
PJAWE,2025-04-22,526.5009,531.8614,510.6223,512.248,306144,512.248
LAHK,2025-04-22,101.9134,102.6952,99.7467,100.5023,1253413,100.5023
YRETH,2025-04-22,518.094,523.3468,511.1859,523.2407,358701,523.2407
CAHM,2025-04-22,698.8884,700.7401,679.6516,682.5599,37048,682.5599
HQPT,2025-04-22,59.7288,60.8304,55.6155,56.5321,1703995,56.5321
YUQR,2025-04-22,487.2342,500.3504,474.6038,498.4242,209163,498.4242
CZV,2025-04-22,230.7643,231.1792,228.7395,228.7672,2424061,228.7672
VOLI,2025-04-22,167.9564,170.6064,163.6781,164.9588,1588730,164.9588
DHWMA,2025-04-22,333.5379,355.5648,330.0601,350.9521,168445,350.9521
ZGOJ,2025-04-22,723.2368,753.1958,715.468,750.9713,1096871,750.9713
OIOO,2025-04-22,809.3161,822.1791,789.5632,819.5802,4332900,819.5802
NPWW,2025-04-22,671.5264,681.7175,629.458,636.8252,1299135,636.8252
JISTW,2025-04-22,41.4522,41.9214,41.2211,41.5198,187763,41.5198
HJD,2025-04-22,750.9276,766.074,749.3465,758.9419,46658,758.9419
XREL,2025-04-22,785.8305,788.043,780.3086,781.0611,2124559,781.0611
HORT,2025-04-22,740.2601,757.6681,728.3352,756.9719,116222,756.9719
ILP,2025-04-22,596.9392,600.2329,585.3531,588.6365,1882056,588.6365
UMBT,2025-04-22,540.1714,541.975,531.5889,531.751,5798578,531.751
AWOX,2025-04-22,358.7381,374.1618,355.414,372.6803,103601,372.6803
KTEKC,2025-04-22,310.6982,313.7204,302.209,305.6919,1429482,305.6919
ZYVC,2025-04-22,111.9499,113.0979,110.5746,113.0749,937527,113.0749
UGIE,2025-04-22,376.9763,378.8091,376.5243,377.8145,853235,377.8145
BMK,2025-04-22,369.3934,373.1874,356.6939,358.0519,456707,358.0519
LUCRW,2025-04-22,59.1786,59.4003,55.894,56.2651,292191,56.2651
CCT,2025-04-22,127.1917,129.494,127.1489,128.625,983466,128.625
FCVJ,2025-04-22,153.5301,157.0621,153.312,156.8054,131047,156.8054
XJED,2025-04-22,349.0851,351.8472,321.6468,332.2253,130683,332.2253
TCLH,2025-04-22,619.4283,640.011,617.41,638.3157,452405,638.3157
DNFO,2025-04-22,352.4018,352.4311,343.3741,347.6621,635324,347.6621
NKII,2025-04-22,541.0735,548.4998,524.2465,528.7696,28712,528.7696
QZIZI,2025-04-22,501.7929,531.2369,499.2702,527.3734,103724,527.3734
JPYTB,2025-04-22,202.1333,216.3762,200.8412,214.168,881930,214.168
ZNPJ,2025-04-22,263.5416,274.5967,262.8913,273.3309,1501898,273.3309
RXIRR,2025-04-22,19.9783,20.6712,19.1952,20.1646,200933,20.1646
EFYM,2025-04-22,123.6351,128.3948,122.2623,126.4765,3717487,126.4765
VUVE,2025-04-22,300.8981,303.3701,300.8502,303.0359,4610201,303.0359
ZMHJN,2025-04-22,336.0793,336.9389,318.2386,321.1197,520857,321.1197
DLYFL,2025-04-22,36.2158,37.0636,35.2085,35.8765,501363,35.8765
SDSL,2025-04-22,347.4376,348.563,339.6048,340.8616,534298,340.8616
JOERN,2025-04-22,490.594,491.2353,486.5434,486.8559,1317704,486.8559
BULH,2025-04-22,551.0346,567.9767,513.7225,521.1832,1032208,521.1832
YNUS,2025-04-22,483.247,513.0281,476.9407,500.6533,1615774,500.6533
HZYB,2025-04-22,309.512,312.1322,309.0298,310.2003,380993,310.2003
ADLJL,2025-04-22,178.0616,178.9931,177.2491,178.3023,1171235,178.3023
HXMDW,2025-04-22,634.5555,644.1863,630.5616,641.8047,139351,641.8047
FZUGM,2025-04-22,97.1853,98.0735,92.0047,92.3653,193420,92.3653
QLRI,2025-04-22,802.9515,822.2867,741.0759,757.8624,72671,757.8624
XVGQO,2025-04-22,516.5109,517.5561,513.4875,515.5902,193564,515.5902
MURH,2025-04-22,414.6285,419.8833,412.8087,419.538,1011694,419.538
IMG,2025-04-22,455.5418,462.7746,451.3043,460.4024,99076,460.4024
BMW,2025-04-22,452.6938,487.5703,445.8518,476.2272,397886,476.2272
KLO,2025-04-22,136.5696,138.1586,136.4839,137.7056,91409,137.7056
THIVN,2025-04-22,805.9021,806.1959,774.6639,775.8405,75848,775.8405
PSPEQ,2025-04-22,716.815,746.8668,707.6523,742.6001,796743,742.6001
SNO,2025-04-22,166.074,173.7983,161.7547,168.5345,267360,168.5345
HHYZ,2025-04-22,741.3411,765.0629,736.627,753.4871,1896714,753.4871
HHSJ,2025-04-22,535.2905,545.9055,531.6803,544.2818,20631,544.2818
CIM,2025-04-22,703.4938,710.5593,701.4958,706.2624,358802,706.2624
YAVU,2025-04-22,148.1235,155.3935,145.8353,155.2966,460497,155.2966
VNCR,2025-04-22,53.7957,54.1282,51.6733,52.8519,80061,52.8519
MER,2025-04-22,423.7826,426.89,417.3748,418.8936,359225,418.8936
COBO,2025-04-22,370.2864,370.7068,358.7006,362.7856,1533339,362.7856
ORI,2025-04-22,233.7779,236.0094,231.2618,235.1025,728851,235.1025
TTZQ,2025-04-22,426.7453,428.977,423.1131,426.1085,593048,426.1085
VTZM,2025-04-22,164.2491,166.1696,159.6102,164.7614,3797715,164.7614
PLR,2025-04-22,439.8402,441.3635,431.5249,432.9097,1089102,432.9097
WXQLM,2025-04-22,451.6099,452.8375,430.7635,438.9594,83857,438.9594
ODGF,2025-04-22,387.1779,396.0771,386.6267,387.5407,449263,387.5407
HXFE,2025-04-22,369.83,375.1017,364.2971,374.3173,2326036,374.3173
TIFI,2025-04-22,210.1031,216.4434,209.3367,215.7745,238867,215.7745
ZQME,2025-04-22,337.3156,339.7752,331.8235,332.6136,647638,332.6136
BDFL,2025-04-22,91.0041,91.1476,88.9896,89.4869,2295419,89.4869
NGQ,2025-04-22,332.1539,332.2349,328.5216,329.335,422788,329.335
AHF,2025-04-23,609.3826,628.2672,599.4212,614.4584,268165,614.4584
SIEY,2025-04-23,712.3258,734.5144,709.9192,727.5478,900259,727.5478
HQJJ,2025-04-23,753.3271,767.9378,738.4225,744.9828,155929,744.9828
DDTO,2025-04-23,300.6874,303.8206,299.136,302.4488,68853,302.4488
ZNZWA,2025-04-23,122.034,122.6502,118.2716,118.5065,179225,118.5065
OUNA,2025-04-23,566.4647,571.719,564.8665,569.8003,769181,569.8003
ZQLN,2025-04-23,405.4317,422.3881,401.8659,419.8675,114581,419.8675
RFDY,2025-04-23,340.4683,341.9585,332.6394,339.8173,413603,339.8173
UCEN,2025-04-23,136.0969,138.6192,135.5803,136.3894,592402,136.3894
MWXE,2025-04-23,456.6677,466.1818,454.0374,466.165,83963,466.165
BIBMX,2025-04-23,106.4105,109.1634,106.2229,108.1695,1727922,108.1695
LYYA,2025-04-23,97.2592,97.2798,94.3162,94.6258,560125,94.6258
TEH,2025-04-23,522.7387,563.3587,522.3787,556.9503,3981983,556.9503
ELSO,2025-04-23,518.9482,536.9411,512.4034,536.5169,242774,536.5169
JOW,2025-04-23,219.3038,221.8526,218.9235,221.0468,693111,221.0468
JBM,2025-04-23,538.4269,545.5957,524.6479,528.8718,59642,528.8718
IAWGP,2025-04-23,507.0492,518.9623,504.2305,509.0105,159397,509.0105
SHI,2025-04-23,235.2919,236.1527,229.213,233.2257,962311,233.2257
UPIL,2025-04-23,191.1945,193.4461,187.1411,187.6617,429133,187.6617
DBZP,2025-04-23,182.5563,185.7295,181.0751,184.9279,2179380,184.9279
MOXDD,2025-04-23,597.7814,609.1718,594.0661,605.1924,1209575,605.1924
MGLSG,2025-04-23,685.0711,691.4427,683.8406,690.8943,722171,690.8943
NTUX,2025-04-23,459.7377,465.7169,458.2893,464.5667,268784,464.5667
CLW,2025-04-23,812.5068,813.5118,799.5734,810.6988,2517777,810.6988
FBYB,2025-04-23,646.1398,648.8405,641.9658,643.8483,333205,643.8483
ZCAI,2025-04-23,281.3994,284.1242,279.526,283.7442,307412,283.7442
RBQA,2025-04-23,612.5067,628.2036,611.9896,623.5631,54860,623.5631
PJAWE,2025-04-23,510.5796,511.2342,503.6307,504.7651,1510830,504.7651
LAHK,2025-04-23,99.4771,99.9868,97.2012,98.8538,137083,98.8538
YRETH,2025-04-23,523.1417,526.2309,520.2491,520.9991,122452,520.9991
CAHM,2025-04-23,688.0389,696.6684,686.8207,692.9505,16067,692.9505
HQPT,2025-04-23,57.1201,59.1051,56.6004,59.0219,14961,59.0219
YUQR,2025-04-23,492.3525,513.1442,485.8273,502.6671,1070052,502.6671
CZV,2025-04-23,229.5334,230.6747,223.598,223.6198,245611,223.6198
VOLI,2025-04-23,166.0723,172.6185,162.1201,170.9203,926955,170.9203
DHWMA,2025-04-23,349.2606,351.0623,348.6448,349.385,287159,349.385
ZGOJ,2025-04-23,747.9104,754.3054,705.234,709.8737,517378,709.8737
OIOO,2025-04-23,816.6652,863.006,805.7443,843.0619,1049363,843.0619
NPWW,2025-04-23,635.3457,659.3889,633.7635,654.7152,457911,654.7152
JISTW,2025-04-23,41.446,41.7653,41.3679,41.5433,737579,41.5433
HJD,2025-04-23,751.9835,753.4911,727.2415,738.2012,171422,738.2012
XREL,2025-04-23,791.0213,792.6673,767.2503,776.0892,468634,776.0892
HORT,2025-04-23,764.0708,771.9954,708.2955,717.2996,56224,717.2996
ILP,2025-04-23,588.6785,590.5127,587.7965,590.2728,227341,590.2728
UMBT,2025-04-23,529.3983,531.4122,528.1105,530.4687,1230520,530.4687
AWOX,2025-04-23,372.1373,372.6684,370.6489,372.4147,125597,372.4147
KTEKC,2025-04-23,306.391,314.9321,299.6371,312.551,1227139,312.551
ZYVC,2025-04-23,112.2559,114.704,110.5538,113.7811,20701,113.7811
UGIE,2025-04-23,378.9134,383.2478,378.2484,382.6331,625334,382.6331
BMK,2025-04-23,355.9959,365.0491,352.6049,364.8807,233220,364.8807
LUCRW,2025-04-23,56.0119,56.9296,54.9833,56.9235,20290,56.9235
CCT,2025-04-23,127.8642,129.0826,127.6171,128.5267,88625,128.5267
FCVJ,2025-04-23,155.8416,159.7183,154.0805,157.7837,443980,157.7837
XJED,2025-04-23,331.1278,336.1932,315.8615,323.5275,2094069,323.5275
TCLH,2025-04-23,629.3865,646.29,622.8597,638.9468,461039,638.9468
DNFO,2025-04-23,348.6044,349.4566,341.7153,345.2865,101938,345.2865
NKII,2025-04-23,529.932,536.7709,519.0434,519.904,576957,519.904
QZIZI,2025-04-23,532.4212,543.1665,529.262,529.8361,278256,529.8361
JPYTB,2025-04-23,214.8818,219.6155,211.1195,216.2641,144665,216.2641
ZNPJ,2025-04-23,274.5426,277.6224,273.5961,276.1029,1240364,276.1029
RXIRR,2025-04-23,19.9121,19.9296,19.493,19.6582,5186363,19.6582
EFYM,2025-04-23,124.3167,126.246,120.4551,120.8596,1123076,120.8596
VUVE,2025-04-23,302.7261,305.2135,301.0566,305.1087,850761,305.1087
ZMHJN,2025-04-23,323.5393,325.686,317.0583,320.4636,329878,320.4636
DLYFL,2025-04-23,35.819,35.8467,34.6376,35.0387,247959,35.0387
SDSL,2025-04-23,337.1389,350.978,336.5294,347.568,175722,347.568
JOERN,2025-04-23,488.407,489.291,476.3189,482.5295,529308,482.5295
BULH,2025-04-23,526.4946,541.6981,503.5816,512.5659,1021644,512.5659
YNUS,2025-04-23,490.1049,516.9255,476.8448,504.9907,303199,504.9907
HZYB,2025-04-23,311.405,312.7835,305.1051,306.8059,3952534,306.8059
ADLJL,2025-04-23,178.2643,179.0656,171.5212,171.8474,270765,171.8474
HXMDW,2025-04-23,643.7819,651.7005,636.4516,638.2316,3278701,638.2316
FZUGM,2025-04-23,91.5198,98.6976,90.9348,98.4649,113517,98.4649
QLRI,2025-04-23,754.1193,767.6977,736.6043,741.898,113513,741.898
XVGQO,2025-04-23,518.6132,520.1788,515.8072,519.9935,169058,519.9935
MURH,2025-04-23,419.3875,431.4653,413.8392,425.1019,556034,425.1019
IMG,2025-04-23,457.435,473.239,455.0454,472.1425,256288,472.1425
BMW,2025-04-23,475.0139,479.1641,473.4497,475.6406,907985,475.6406
KLO,2025-04-23,137.5256,140.7799,137.4225,139.8602,684681,139.8602
THIVN,2025-04-23,770.3739,823.5441,767.1821,817.4065,128324,817.4065
PSPEQ,2025-04-23,741.9945,747.0313,734.79,737.0478,145810,737.0478
SNO,2025-04-23,168.2322,175.807,166.337,173.2493,18524,173.2493
HHYZ,2025-04-23,746.8926,755.8678,736.5497,739.3509,628765,739.3509
HHSJ,2025-04-23,534.9826,546.2432,521.994,523.7624,1033328,523.7624
CIM,2025-04-23,708.034,714.405,688.2834,691.5685,283058,691.5685
YAVU,2025-04-23,155.3965,157.2857,152.7014,153.8717,4122709,153.8717
VNCR,2025-04-23,51.8964,55.5444,51.3159,54.0935,203340,54.0935
MER,2025-04-23,418.6012,419.5709,418.1345,418.2899,1080148,418.2899
COBO,2025-04-23,364.4276,370.0821,359.0987,367.5617,109661,367.5617
ORI,2025-04-23,234.7983,242.0236,232.4929,239.6236,1397231,239.6236
TTZQ,2025-04-23,425.515,431.8585,424.1642,424.4245,203999,424.4245
VTZM,2025-04-23,163.9728,165.7546,159.8433,162.4114,40567,162.4114
PLR,2025-04-23,432.2139,433.0149,424.9588,430.2638,1078938,430.2638
WXQLM,2025-04-23,427.7249,440.6761,416.844,432.4434,671143,432.4434
ODGF,2025-04-23,388.5688,391.3639,384.6196,387.9905,298839,387.9905
HXFE,2025-04-23,376.2078,376.6074,376.1234,376.5025,259484,376.5025
TIFI,2025-04-23,211.3828,214.1612,205.9471,210.8713,213055,210.8713
ZQME,2025-04-23,333.5638,336.5651,326.2697,326.7926,86004,326.7926
BDFL,2025-04-23,89.2195,90.1489,89.2025,89.6705,1434081,89.6705
NGQ,2025-04-23,330.1083,332.9636,329.453,332.5209,617146,332.5209
AHF,2025-04-24,620.1907,649.8953,606.5561,641.6975,279507,641.6975
SIEY,2025-04-24,733.7944,734.7953,721.1908,726.5034,101849,726.5034
HQJJ,2025-04-24,748.4205,761.9738,747.0665,754.8481,703439,754.8481
DDTO,2025-04-24,301.5928,313.7426,301.449,310.9216,926988,310.9216
ZNZWA,2025-04-24,118.4944,122.7943,118.3636,120.5934,715862,120.5934
OUNA,2025-04-24,566.6579,568.0926,562.8302,564.5529,2160666,564.5529
ZQLN,2025-04-24,422.402,429.2725,406.1662,412.3017,78467,412.3017
RFDY,2025-04-24,338.9625,347.6624,335.8453,343.478,356124,343.478
UCEN,2025-04-24,137.0982,142.6664,136.8129,141.2044,930985,141.2044
MWXE,2025-04-24,468.341,480.9995,467.7646,474.5762,2225807,474.5762
BIBMX,2025-04-24,108.2274,108.4494,107.7926,108.1421,298294,108.1421
LYYA,2025-04-24,94.9758,97.7738,94.4478,97.4487,1596347,97.4487
TEH,2025-04-24,558.2282,559.7632,541.0971,553.4542,111951,553.4542
ELSO,2025-04-24,531.9835,544.1631,502.2256,507.0959,275368,507.0959
JOW,2025-04-24,220.4005,226.023,218.099,220.8055,250668,220.8055
JBM,2025-04-24,529.5962,555.288,525.7722,549.1532,563155,549.1532
IAWGP,2025-04-24,514.0889,516.8033,498.5197,501.8161,422082,501.8161
SHI,2025-04-24,233.8597,235.8547,233.4744,234.9661,625460,234.9661
UPIL,2025-04-24,186.9903,189.3504,181.7995,187.3855,801214,187.3855
DBZP,2025-04-24,186.5951,189.0741,172.6754,174.2804,737018,174.2804
MOXDD,2025-04-24,602.8468,603.7615,585.3656,589.4414,426047,589.4414
MGLSG,2025-04-24,692.5574,700.6212,690.5383,700.3568,1158777,700.3568
NTUX,2025-04-24,466.0274,493.4834,454.11,489.0213,507048,489.0213
CLW,2025-04-24,809.1571,820.4534,777.2135,794.5328,283515,794.5328
FBYB,2025-04-24,648.6015,668.4564,644.2298,666.0317,2234672,666.0317
ZCAI,2025-04-24,284.1444,284.9226,283.9602,284.2981,1329629,284.2981
RBQA,2025-04-24,629.7856,634.17,602.679,604.4387,2348102,604.4387
PJAWE,2025-04-24,504.6314,509.4655,502.0388,504.6879,324167,504.6879
LAHK,2025-04-24,98.343,99.2189,97.3422,97.9686,5391299,97.9686
YRETH,2025-04-24,520.458,524.0046,517.8981,522.8683,160432,522.8683
CAHM,2025-04-24,694.6694,723.562,693.3616,717.1495,161868,717.1495
HQPT,2025-04-24,59.0524,59.2173,56.1817,58.5689,627269,58.5689
YUQR,2025-04-24,501.3786,527.7927,494.3871,519.0337,632944,519.0337
CZV,2025-04-24,222.8999,223.5837,220.517,222.9058,878086,222.9058
VOLI,2025-04-24,172.3993,173.897,171.0543,173.058,353518,173.058
DHWMA,2025-04-24,360.507,365.607,332.2435,338.554,4235889,338.554
ZGOJ,2025-04-24,706.4045,711.9762,674.3352,683.3976,1952230,683.3976
OIOO,2025-04-24,845.4593,849.5029,819.7005,826.8504,917299,826.8504
NPWW,2025-04-24,657.5722,669.7034,645.0838,654.2427,22306,654.2427
JISTW,2025-04-24,41.4333,41.447,40.7476,41.0345,1223055,41.0345
HJD,2025-04-24,739.2898,750.5663,717.7091,728.0172,158659,728.0172
XREL,2025-04-24,764.7182,771.408,756.5144,759.2098,110652,759.2098
HORT,2025-04-24,721.0607,741.0721,693.8527,696.6629,595801,696.6629
ILP,2025-04-24,589.7482,590.0123,577.168,579.2622,2933620,579.2622
UMBT,2025-04-24,532.7397,539.8001,530.414,537.1452,109483,537.1452
AWOX,2025-04-24,371.0528,379.4901,367.2963,378.0498,1121331,378.0498
KTEKC,2025-04-24,313.2804,314.8641,298.0759,299.9289,197739,299.9289
ZYVC,2025-04-24,116.3386,117.8212,109.1702,111.0775,959458,111.0775
UGIE,2025-04-24,384.6397,388.3544,383.6236,387.5523,252601,387.5523
BMK,2025-04-24,362.9784,371.5195,361.8569,369.8359,697828,369.8359
